SCHOOL-LEVEL TEST-BY-TEST PASS AND PASS ADVANCED,,,,,,8/10/2015,,
DIVISION,SCHOOL,SUBJECT,GRADE,TEST,PASS 2013-2014,PASS 2014-2015,ADVANCED 2013-2014,ADVANCED 2014-2015
Accomack County ,Accawmacke Elementary,English: Reading,Gr 3,English Reading,64,66,14,19
Accomack County ,Accawmacke Elementary,English: Reading,Gr 4,English Reading,64,80,13,21
Accomack County ,Accawmacke Elementary,English: Reading,Gr 5,English Reading,72,72,16,10
Accomack County ,Accawmacke Elementary,History and Social Sciences,Content Specific,VA Studies,89,98,57,66
Accomack County ,Accawmacke Elementary,Mathematics,Gr 3,Mathematics,65,72,20,18
Accomack County ,Accawmacke Elementary,Mathematics,Gr 4,Mathematics,82,82,20,27
Accomack County ,Accawmacke Elementary,Mathematics,Gr 5,Mathematics,76,81,31,23
Accomack County ,Accawmacke Elementary,Science,Gr 5,Science,80,86,28,12
Accomack County ,Arcadia High,English: Reading,Gr 8,English Reading,86,100,0,0
Accomack County ,Arcadia High,English: Reading,End of Course,English Reading,88,82,3,2
Accomack County ,Arcadia High,English: Writing,End of Course,Writing,85,79,10,10
Accomack County ,Arcadia High,History and Social Sciences,End of Course,Geography,83,73,8,5
Accomack County ,Arcadia High,History and Social Sciences,End of Course,VA & US History,82,82,0,7
Accomack County ,Arcadia High,History and Social Sciences,End of Course,World History I,67,84,7,4
Accomack County ,Arcadia High,History and Social Sciences,End of Course,World History II,74,73,6,10
Accomack County ,Arcadia High,Mathematics,End of Course,Algebra I,83,74,1,0
Accomack County ,Arcadia High,Mathematics,End of Course,Algebra II,82,78,3,5
Accomack County ,Arcadia High,Mathematics,End of Course,Geometry,76,74,2,6
Accomack County ,Arcadia High,Science,End of Course,Biology,80,78,9,2
Accomack County ,Arcadia High,Science,End of Course,Chemistry,94,86,3,4
Accomack County ,Arcadia High,Science,End of Course,Earth Science,75,73,3,9
Accomack County ,Arcadia Middle ,English: Reading,Gr 6,English Reading,68,65,4,6
Accomack County ,Arcadia Middle ,English: Reading,Gr 7,English Reading,63,80,10,8
Accomack County ,Arcadia Middle ,English: Reading,Gr 8,English Reading,57,63,6,4
Accomack County ,Arcadia Middle ,English: Writing,Gr 8,Writing,58,65,8,8
Accomack County ,Arcadia Middle ,History and Social Sciences,Content Specific,Civics & Econ,80,87,25,20
Accomack County ,Arcadia Middle ,Mathematics,Gr 6,Mathematics,75,80,2,3
Accomack County ,Arcadia Middle ,Mathematics,Gr 7,Mathematics,31,44,0,3
Accomack County ,Arcadia Middle ,Mathematics,Gr 8,Mathematics,79,76,4,3
Accomack County ,Arcadia Middle ,Mathematics,End of Course,Algebra I,97,100,6,4
Accomack County ,Arcadia Middle ,Mathematics,End of Course,Geometry,89,100,22,0
Accomack County ,Arcadia Middle ,Science,Gr 8,Science,68,76,9,6
Accomack County ,Arcadia Middle ,Science,End of Course,Earth Science,,<,,<
Accomack County ,Chincoteague Elementary,English: Reading,Gr 3,English Reading,74,67,12,12
Accomack County ,Chincoteague Elementary,English: Reading,Gr 4,English Reading,81,82,38,21
Accomack County ,Chincoteague Elementary,English: Reading,Gr 5,English Reading,88,90,26,52
Accomack County ,Chincoteague Elementary,History and Social Sciences,Content Specific,VA Studies,90,88,58,30
Accomack County ,Chincoteague Elementary,Mathematics,Gr 3,Mathematics,64,64,9,14
Accomack County ,Chincoteague Elementary,Mathematics,Gr 4,Mathematics,81,85,25,15
Accomack County ,Chincoteague Elementary,Mathematics,Gr 5,Mathematics,73,94,39,48
Accomack County ,Chincoteague Elementary,Science,Gr 5,Science,85,97,32,48
Accomack County ,Chincoteague High,English: Reading,Gr 6,English Reading,77,82,21,6
Accomack County ,Chincoteague High,English: Reading,Gr 7,English Reading,72,94,8,18
Accomack County ,Chincoteague High,English: Reading,Gr 8,English Reading,56,79,10,10
Accomack County ,Chincoteague High,English: Reading,End of Course,English Reading,89,96,14,6
Accomack County ,Chincoteague High,English: Writing,Gr 8,Writing,66,71,18,5
Accomack County ,Chincoteague High,English: Writing,End of Course,Writing,83,98,17,12
